Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Sexe,Nacionalitat,Edat_quinquennal,Nombre
2019,7,Horta-Guinardó,35,el Guinardó,Dona,Estrangera,25-29 anys,481
2019,7,Horta-Guinardó,36,la Font d'en Fargues,Dona,Estrangera,25-29 anys,59
2019,7,Horta-Guinardó,37,el Carmel,Dona,Estrangera,25-29 anys,366
2019,7,Horta-Guinardó,38,la Teixonera,Dona,Estrangera,25-29 anys,144
2019,7,Horta-Guinardó,39,Sant Genís dels Agudells,Dona,Estrangera,25-29 anys,93
2019,7,Horta-Guinardó,40,Montbau,Dona,Estrangera,25-29 anys,61
2019,7,Horta-Guinardó,41,la Vall d'Hebron,Dona,Estrangera,25-29 anys,40
2019,7,Horta-Guinardó,42,la Clota,Dona,Estrangera,25-29 anys,3
2019,7,Horta-Guinardó,43,Horta,Dona,Estrangera,25-29 anys,282
2019,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Dona,Estrangera,25-29 anys,256
2019,8,Nou Barris,45,Porta,Dona,Estrangera,25-29 anys,380
2019,8,Nou Barris,46,el Turó de la Peira,Dona,Estrangera,25-29 anys,232
2019,8,Nou Barris,47,Can Peguera,Dona,Estrangera,25-29 anys,12
2019,8,Nou Barris,48,la Guineueta,Dona,Estrangera,25-29 anys,111
2019,8,Nou Barris,49,Canyelles,Dona,Estrangera,25-29 anys,24
2019,8,Nou Barris,50,les Roquetes,Dona,Estrangera,25-29 anys,263
2019,8,Nou Barris,51,Verdun,Dona,Estrangera,25-29 anys,183
2019,8,Nou Barris,52,la Prosperitat,Dona,Estrangera,25-29 anys,323
2019,8,Nou Barris,53,la Trinitat Nova,Dona,Estrangera,25-29 anys,116
2019,8,Nou Barris,54,Torre Baró,Dona,Estrangera,25-29 anys,21
2019,8,Nou Barris,55,Ciutat Meridiana,Dona,Estrangera,25-29 anys,222
2019,8,Nou Barris,56,Vallbona,Dona,Estrangera,25-29 anys,8
2019,9,Sant Andreu,57,la Trinitat Vella,Dona,Estrangera,25-29 anys,154
2019,9,Sant Andreu,58,Baró de Viver,Dona,Estrangera,25-29 anys,18
2019,9,Sant Andreu,59,el Bon Pastor,Dona,Estrangera,25-29 anys,138
2019,9,Sant Andreu,60,Sant Andreu,Dona,Estrangera,25-29 anys,357
2019,9,Sant Andreu,61,la Sagrera,Dona,Estrangera,25-29 anys,313
2019,9,Sant Andreu,62,el Congrés i els Indians,Dona,Estrangera,25-29 anys,169
2019,9,Sant Andreu,63,Navas,Dona,Estrangera,25-29 anys,268
2019,10,Sant Martí,64,el Camp de l'Arpa del Clot,Dona,Estrangera,25-29 anys,639
2019,10,Sant Martí,65,el Clot,Dona,Estrangera,25-29 anys,337
2019,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Dona,Estrangera,25-29 anys,300
2019,10,Sant Martí,67,la Vila Olímpica del Poblenou,Dona,Estrangera,25-29 anys,98
2019,10,Sant Martí,68,el Poblenou,Dona,Estrangera,25-29 anys,487
2019,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Dona,Estrangera,25-29 anys,119
2019,10,Sant Martí,70,el Besòs i el Maresme,Dona,Estrangera,25-29 anys,411
2019,10,Sant Martí,71,Provençals del Poblenou,Dona,Estrangera,25-29 anys,227
2019,10,Sant Martí,72,Sant Martí de Provençals,Dona,Estrangera,25-29 anys,272
2019,10,Sant Martí,73,la Verneda i la Pau,Dona,Estrangera,25-29 anys,282
2019,1,Ciutat Vella,1,el Raval,Dona,Estrangera,30-34 anys,1729
2019,1,Ciutat Vella,2,el Barri Gòtic,Dona,Estrangera,30-34 anys,775
2019,1,Ciutat Vella,3,la Barceloneta,Dona,Estrangera,30-34 anys,565
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Dona,Estrangera,30-34 anys,1012
2019,2,Eixample,5,el Fort Pienc,Dona,Estrangera,30-34 anys,685
2019,2,Eixample,6,la Sagrada Família,Dona,Estrangera,30-34 anys,1189
2019,2,Eixample,7,la Dreta de l'Eixample,Dona,Estrangera,30-34 anys,961
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Dona,Estrangera,30-34 anys,996
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Dona,Estrangera,30-34 anys,1167
2019,2,Eixample,10,Sant Antoni,Dona,Estrangera,30-34 anys,877
2019,3,Sants-Montjuïc,11,el Poble Sec,Dona,Estrangera,30-34 anys,1139
2019,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Dona,Estrangera,30-34 anys,11
2019,3,Sants-Montjuïc,13,la Marina de Port,Dona,Estrangera,30-34 anys,364
2019,3,Sants-Montjuïc,14,la Font de la Guatlla,Dona,Estrangera,30-34 anys,187
2019,3,Sants-Montjuïc,15,Hostafrancs,Dona,Estrangera,30-34 anys,345
2019,3,Sants-Montjuïc,16,la Bordeta,Dona,Estrangera,30-34 anys,223
2019,3,Sants-Montjuïc,17,Sants - Badal,Dona,Estrangera,30-34 anys,406
2019,3,Sants-Montjuïc,18,Sants,Dona,Estrangera,30-34 anys,768
2019,4,Les Corts,19,les Corts,Dona,Estrangera,30-34 anys,543
2019,4,Les Corts,20,la Maternitat i Sant Ramon,Dona,Estrangera,30-34 anys,290
2019,4,Les Corts,21,Pedralbes,Dona,Estrangera,30-34 anys,102
2019,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Dona,Estrangera,30-34 anys,30
2019,5,Sarrià-Sant Gervasi,23,Sarrià,Dona,Estrangera,30-34 anys,162
2019,5,Sarrià-Sant Gervasi,24,les Tres Torres,Dona,Estrangera,30-34 anys,112
2019,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Dona,Estrangera,30-34 anys,242
2019,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Dona,Estrangera,30-34 anys,497
2019,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Dona,Estrangera,30-34 anys,410
2019,6,Gràcia,28,Vallcarca i els Penitents,Dona,Estrangera,30-34 anys,213
2019,6,Gràcia,29,el Coll,Dona,Estrangera,30-34 anys,100
2019,6,Gràcia,30,la Salut,Dona,Estrangera,30-34 anys,185
2019,6,Gràcia,31,la Vila de Gràcia,Dona,Estrangera,30-34 anys,1225
2019,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Dona,Estrangera,30-34 anys,586
2019,7,Horta-Guinardó,33,el Baix Guinardó,Dona,Estrangera,30-34 anys,396
2019,7,Horta-Guinardó,34,Can Baró,Dona,Estrangera,30-34 anys,158
2019,7,Horta-Guinardó,35,el Guinardó,Dona,Estrangera,30-34 anys,561
2019,7,Horta-Guinardó,36,la Font d'en Fargues,Dona,Estrangera,30-34 anys,62
2019,7,Horta-Guinardó,37,el Carmel,Dona,Estrangera,30-34 anys,438
2019,7,Horta-Guinardó,38,la Teixonera,Dona,Estrangera,30-34 anys,146
2019,7,Horta-Guinardó,39,Sant Genís dels Agudells,Dona,Estrangera,30-34 anys,95
2019,7,Horta-Guinardó,40,Montbau,Dona,Estrangera,30-34 anys,78
2019,7,Horta-Guinardó,41,la Vall d'Hebron,Dona,Estrangera,30-34 anys,41
2019,7,Horta-Guinardó,42,la Clota,Dona,Estrangera,30-34 anys,5
2019,7,Horta-Guinardó,43,Horta,Dona,Estrangera,30-34 anys,302
2019,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Dona,Estrangera,30-34 anys,288
2019,8,Nou Barris,45,Porta,Dona,Estrangera,30-34 anys,378
2019,8,Nou Barris,46,el Turó de la Peira,Dona,Estrangera,30-34 anys,273
2019,8,Nou Barris,47,Can Peguera,Dona,Estrangera,30-34 anys,15
2019,8,Nou Barris,48,la Guineueta,Dona,Estrangera,30-34 anys,110
2019,8,Nou Barris,49,Canyelles,Dona,Estrangera,30-34 anys,27
2019,8,Nou Barris,50,les Roquetes,Dona,Estrangera,30-34 anys,303
2019,8,Nou Barris,51,Verdun,Dona,Estrangera,30-34 anys,227
2019,8,Nou Barris,52,la Prosperitat,Dona,Estrangera,30-34 anys,354
2019,8,Nou Barris,53,la Trinitat Nova,Dona,Estrangera,30-34 anys,100
2019,8,Nou Barris,54,Torre Baró,Dona,Estrangera,30-34 anys,35
2019,8,Nou Barris,55,Ciutat Meridiana,Dona,Estrangera,30-34 anys,232
2019,8,Nou Barris,56,Vallbona,Dona,Estrangera,30-34 anys,14
2019,9,Sant Andreu,57,la Trinitat Vella,Dona,Estrangera,30-34 anys,170
2019,9,Sant Andreu,58,Baró de Viver,Dona,Estrangera,30-34 anys,24
2019,9,Sant Andreu,59,el Bon Pastor,Dona,Estrangera,30-34 anys,167
2019,9,Sant Andreu,60,Sant Andreu,Dona,Estrangera,30-34 anys,392
2019,9,Sant Andreu,61,la Sagrera,Dona,Estrangera,30-34 anys,374
2019,9,Sant Andreu,62,el Congrés i els Indians,Dona,Estrangera,30-34 anys,193
2019,9,Sant Andreu,63,Navas,Dona,Estrangera,30-34 anys,293
2019,10,Sant Martí,64,el Camp de l'Arpa del Clot,Dona,Estrangera,30-34 anys,712
2019,10,Sant Martí,65,el Clot,Dona,Estrangera,30-34 anys,398
2019,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Dona,Estrangera,30-34 anys,327
2019,10,Sant Martí,67,la Vila Olímpica del Poblenou,Dona,Estrangera,30-34 anys,122
2019,10,Sant Martí,68,el Poblenou,Dona,Estrangera,30-34 anys,645
2019,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Dona,Estrangera,30-34 anys,231
2019,10,Sant Martí,70,el Besòs i el Maresme,Dona,Estrangera,30-34 anys,426
2019,10,Sant Martí,71,Provençals del Poblenou,Dona,Estrangera,30-34 anys,297
2019,10,Sant Martí,72,Sant Martí de Provençals,Dona,Estrangera,30-34 anys,294
2019,10,Sant Martí,73,la Verneda i la Pau,Dona,Estrangera,30-34 anys,269
2019,1,Ciutat Vella,1,el Raval,Dona,Estrangera,35-39 anys,1279
2019,1,Ciutat Vella,2,el Barri Gòtic,Dona,Estrangera,35-39 anys,502
2019,1,Ciutat Vella,3,la Barceloneta,Dona,Estrangera,35-39 anys,427
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Dona,Estrangera,35-39 anys,703
2019,2,Eixample,5,el Fort Pienc,Dona,Estrangera,35-39 anys,596
2019,2,Eixample,6,la Sagrada Família,Dona,Estrangera,35-39 anys,843
2019,2,Eixample,7,la Dreta de l'Eixample,Dona,Estrangera,35-39 anys,726
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Dona,Estrangera,35-39 anys,693
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Dona,Estrangera,35-39 anys,815
2019,2,Eixample,10,Sant Antoni,Dona,Estrangera,35-39 anys,624
2019,3,Sants-Montjuïc,11,el Poble Sec,Dona,Estrangera,35-39 anys,1049
2019,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Dona,Estrangera,35-39 anys,7
2019,3,Sants-Montjuïc,13,la Marina de Port,Dona,Estrangera,35-39 anys,356
2019,3,Sants-Montjuïc,14,la Font de la Guatlla,Dona,Estrangera,35-39 anys,156
2019,3,Sants-Montjuïc,15,Hostafrancs,Dona,Estrangera,35-39 anys,298
2019,3,Sants-Montjuïc,16,la Bordeta,Dona,Estrangera,35-39 anys,220
2019,3,Sants-Montjuïc,17,Sants - Badal,Dona,Estrangera,35-39 anys,363
2019,3,Sants-Montjuïc,18,Sants,Dona,Estrangera,35-39 anys,596
2019,4,Les Corts,19,les Corts,Dona,Estrangera,35-39 anys,471
2019,4,Les Corts,20,la Maternitat i Sant Ramon,Dona,Estrangera,35-39 anys,214
2019,4,Les Corts,21,Pedralbes,Dona,Estrangera,35-39 anys,107
2019,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Dona,Estrangera,35-39 anys,56
2019,5,Sarrià-Sant Gervasi,23,Sarrià,Dona,Estrangera,35-39 anys,219
2019,5,Sarrià-Sant Gervasi,24,les Tres Torres,Dona,Estrangera,35-39 anys,102
2019,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Dona,Estrangera,35-39 anys,215
2019,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Dona,Estrangera,35-39 anys,430
2019,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Dona,Estrangera,35-39 anys,339
