Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Sexe,Nacionalitat,Edat_quinquennal,Nombre
2019,1,Ciutat Vella,1,el Raval,Home,Espanyola,0-4 anys,438
2019,1,Ciutat Vella,2,el Barri Gòtic,Home,Espanyola,0-4 anys,126
2019,1,Ciutat Vella,3,la Barceloneta,Home,Espanyola,0-4 anys,123
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Home,Espanyola,0-4 anys,228
2019,2,Eixample,5,el Fort Pienc,Home,Espanyola,0-4 anys,464
2019,2,Eixample,6,la Sagrada Família,Home,Espanyola,0-4 anys,731
2019,2,Eixample,7,la Dreta de l'Eixample,Home,Espanyola,0-4 anys,653
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Home,Espanyola,0-4 anys,661
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Home,Espanyola,0-4 anys,900
2019,2,Eixample,10,Sant Antoni,Home,Espanyola,0-4 anys,581
2019,3,Sants-Montjuïc,11,el Poble Sec,Home,Espanyola,0-4 anys,509
2019,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Home,Espanyola,0-4 anys,32
2019,3,Sants-Montjuïc,13,la Marina de Port,Home,Espanyola,0-4 anys,463
2019,3,Sants-Montjuïc,14,la Font de la Guatlla,Home,Espanyola,0-4 anys,140
2019,3,Sants-Montjuïc,15,Hostafrancs,Home,Espanyola,0-4 anys,255
2019,3,Sants-Montjuïc,16,la Bordeta,Home,Espanyola,0-4 anys,337
2019,3,Sants-Montjuïc,17,Sants - Badal,Home,Espanyola,0-4 anys,370
